n,mean_delta_mm,median_delta_mm,mean_ci_low_mm,mean_ci_high_mm,win_rate,tie_rate,wilcoxon_statistic,p_value,standardized_mean_delta,condition,comparator,candidate,p_holm
6315,0.032096498001216424,0.04884672164916992,0.012691943753785023,0.049439553015895615,0.41298495645288996,0.0,7933828.0,6.379353866348283e-45,0.04236468384617684,"In-silico, no added noise",GeoTransformer,RTOR,9.569030799522425e-44
6315,-0.032476929615908735,-0.01677846908569336,-0.04711057418952928,-0.019715762203020983,0.5467933491686461,0.0,8887175.0,7.248613328042527e-14,-0.05817639403383675,"In-silico, no added noise",GeoTransformer,A3,5.798890662434022e-13
6315,0.018298781777032293,0.027991771697998047,-0.008891019928294898,0.057465269665631244,0.44924782264449725,0.0,8712097.0,3.570966575493773e-18,0.013677633120861983,"In-silico, no added noise",GeoTransformer,RTOR+A3,3.5709665754937727e-17
6315,-0.011729492592792707,0.01927429437637329,-0.028885591139136472,0.0038093615443057084,0.45890736342042754,0.0,9090599.0,1.207521471271043e-09,-0.017424277374567143,"In-silico, no added noise",GeoTransformer,RTOR+A3 (cooperative),8.452650298897301e-09
6315,0.011902135487878879,0.04893136024475098,-0.05018532616886372,0.06561555370181113,0.4077593032462391,0.0,7909796.5,6.035386797886702e-46,0.005090396878672959,"In-silico, 2 mm noise",GeoTransformer,RTOR,9.656618876618723e-45
6315,-0.038964561725172465,-0.005132436752319336,-0.094466057332706,0.0037302711359442743,0.5143309580364213,0.0,9640095.5,0.022220261715553143,-0.019069489907620335,"In-silico, 2 mm noise",GeoTransformer,A3,0.06666078514665943
6315,0.016936778904234524,0.04438924789428711,-0.04833537544320711,0.08067005066329395,0.4199524940617577,0.0,8153166.0,4.002054794147048e-36,0.0064717957133878816,"In-silico, 2 mm noise",GeoTransformer,RTOR+A3,5.602876711805868e-35
6315,-0.023211318632014102,0.029968619346618652,-0.07978772290965346,0.01931849967425811,0.4332541567695962,0.0,8569967.0,3.9393439485870825e-22,-0.011192557206564615,"In-silico, 2 mm noise",GeoTransformer,RTOR+A3 (cooperative),4.333278343445791e-21
6315,-0.011667934119087878,0.046509742736816406,-0.09058161796413522,0.06211918888494124,0.42565320665083134,0.0,8447175.0,6.972854913747959e-26,-0.0037898939482275307,"In-silico, 4 mm noise",GeoTransformer,RTOR,8.36742589649755e-25
6315,-0.04032002119723522,-0.0074062347412109375,-0.10536507803029421,0.018604065494011623,0.514172604908947,0.0,9666621.5,0.03542231734277149,-0.016076174673042596,"In-silico, 4 mm noise",GeoTransformer,A3,0.07084463468554297
6315,-0.006600880622863769,0.04853940010070801,-0.07967412836666818,0.06379738969054376,0.42755344418052255,0.0,8428303.0,1.7352132659613416e-26,-0.002274622335065403,"In-silico, 4 mm noise",GeoTransformer,RTOR+A3,2.255777245749744e-25
6315,-0.006570856479643265,0.030931949615478516,-0.08711401936902664,0.07759077653524805,0.44687252573238323,0.0,8863489.0,2.060909785418558e-14,-0.0019929177626648504,"In-silico, 4 mm noise",GeoTransformer,RTOR+A3 (cooperative),1.8548188068767022e-13
800,-0.3134798438847065,-0.026123762130737305,-0.5914757880829274,-0.12127683965861799,0.53125,0.0,121851.0,4.478648243780191e-09,-0.08824199896550838,In-vitro phantom,GeoTransformer,RTOR,2.6871889462681145e-08
800,0.000233907550573349,0.0051996707916259766,-0.2830372882671654,0.27346694637835023,0.485,0.0,157651.5,0.696690080844927,6.165710265600689e-05,In-vitro phantom,GeoTransformer,A3,0.696690080844927
800,-0.21830106630921364,-0.005969882011413574,-0.4333106918931008,-0.10009135477989914,0.51125,0.0,128949.0,1.7544183270529497e-06,-0.08016589807098184,In-vitro phantom,GeoTransformer,RTOR+A3,8.772091635264748e-06
800,-0.2803780981898308,0.006354212760925293,-0.569433098923415,-0.07873068781569602,0.49125,0.0,141589.0,0.0044196155830301745,-0.07727982863466412,In-vitro phantom,GeoTransformer,RTOR+A3 (cooperative),0.017678462332120698
