n,mean_rms_tre_mm,std_rms_tre_mm,median_rms_tre_mm,q95_rms_tre_mm,mean_ci_low_mm,mean_ci_high_mm,success_rate_20mm,condition,method,source_file
6315,4.43969335564525,3.0117897293906633,3.774319887161255,10.046382045745846,4.366181406293799,4.514852511714303,0.9987331749802059,"In-silico, no added noise",GeoTransformer,/home/yangx/code/new_deform/RTORv6/output/geotransformer.p2p_liver.ablation.scratch_v2.geotransformer.seed7351/evaluation_epoch150/in_silico_noise_none.json
6315,4.471789853646467,2.9107399923532875,3.8286850452423096,10.150917625427232,4.401063015814797,4.543936784719415,0.9987331749802059,"In-silico, no added noise",RTOR,/home/yangx/code/new_deform/RTORv6/output/geotransformer.p2p_liver.ablation.scratch_v2.rtor_only.seed7351/evaluation_epoch150/in_silico_noise_none.json
6315,4.407216426029342,2.9706839906532814,3.771188497543335,10.071620655059814,4.335877720148598,4.480452766605223,0.9985748218527316,"In-silico, no added noise",A3,/home/yangx/code/new_deform/RTORv6/output/geotransformer.p2p_liver.ablation.scratch_v2.a3_only.seed7351/evaluation_epoch150/in_silico_noise_none.json
6315,4.457992137422282,3.154467524246041,3.82301926612854,10.182289028167716,4.382539788205545,4.538792178624694,0.9985748218527316,"In-silico, no added noise",RTOR+A3,/home/yangx/code/new_deform/RTORv6/output/geotransformer.p2p_liver.ablation.scratch_v2.rtor_a3.seed7351/evaluation_epoch150/in_silico_noise_none.json
6315,4.427963863052457,2.907140777106544,3.801539421081543,10.075518798828114,4.356877721133845,4.500111462023531,0.9987331749802059,"In-silico, no added noise",RTOR+A3 (cooperative),output/geotransformer.p2p_liver.rtor_a3_cooperative_v1_epoch150/in_silico_noise_none.json
6315,4.489809938191613,3.563175541717746,3.807385206222534,10.145904922485348,4.404592461238659,4.579581114805038,0.9979414093428345,"In-silico, 2 mm noise",GeoTransformer,/home/yangx/code/new_deform/RTORv6/output/geotransformer.p2p_liver.ablation.scratch_v2.geotransformer.seed7351/evaluation_epoch150/in_silico_noise_2.json
6315,4.501712073679491,3.175457873678746,3.8371639251708984,10.205311584472652,4.4251423696134164,4.581699003180575,0.9984164687252574,"In-silico, 2 mm noise",RTOR,/home/yangx/code/new_deform/RTORv6/output/geotransformer.p2p_liver.ablation.scratch_v2.rtor_only.seed7351/evaluation_epoch150/in_silico_noise_2.json
6315,4.45084537646644,3.069935429587995,3.7945711612701416,10.10117139816282,4.3773072853706845,4.527911651381309,0.9980997624703087,"In-silico, 2 mm noise",A3,/home/yangx/code/new_deform/RTORv6/output/geotransformer.p2p_liver.ablation.scratch_v2.a3_only.seed7351/evaluation_epoch150/in_silico_noise_2.json
6315,4.506746717095847,3.3573725763797713,3.8302552700042725,10.14148626327513,4.427205939199702,4.5934425671511905,0.9987331749802059,"In-silico, 2 mm noise",RTOR+A3,/home/yangx/code/new_deform/RTORv6/output/geotransformer.p2p_liver.ablation.scratch_v2.rtor_a3.seed7351/evaluation_epoch150/in_silico_noise_2.json
6315,4.466598619559599,2.92655547176587,3.834479331970215,10.099925994873043,4.394925266143263,4.539889575579245,0.9990498812351544,"In-silico, 2 mm noise",RTOR+A3 (cooperative),output/geotransformer.p2p_liver.rtor_a3_cooperative_v1_epoch150/in_silico_noise_2.json
