condition,method,visibility_midpoint,visibility_range,n,mean_rms_tre_mm,std_rms_tre_mm
"In-silico, no added noise",GeoTransformer,0.25,"[0.2, 0.3)",730,5.491748830961854,3.843786178625048
"In-silico, no added noise",GeoTransformer,0.3500000000000001,"[0.3, 0.4)",808,5.21032948249785,3.498125312589907
"In-silico, no added noise",GeoTransformer,0.45000000000000007,"[0.4, 0.5)",790,4.586637706771682,2.9038713929229725
"In-silico, no added noise",GeoTransformer,0.55,"[0.5, 0.6)",806,4.4058040765024,2.8595197964154386
"In-silico, no added noise",GeoTransformer,0.6500000000000001,"[0.6, 0.7)",777,4.159962841749498,2.7428469146549483
"In-silico, no added noise",GeoTransformer,0.7500000000000002,"[0.7, 0.8)",802,4.035549495657186,2.6322091078508545
"In-silico, no added noise",GeoTransformer,0.8500000000000002,"[0.8, 0.9)",840,3.897089062773046,2.43239523371214
"In-silico, no added noise",GeoTransformer,0.9500000000000002,"[0.9, 1.0]",760,3.786700702380193,2.482187441960383
"In-silico, no added noise",RTOR,0.25,"[0.2, 0.3)",730,5.27635474156027,3.2020798231548095
"In-silico, no added noise",RTOR,0.3500000000000001,"[0.3, 0.4)",808,5.1443162958073145,3.3461351179563557
"In-silico, no added noise",RTOR,0.45000000000000007,"[0.4, 0.5)",790,4.5586102297034445,2.897184694731423
"In-silico, no added noise",RTOR,0.55,"[0.5, 0.6)",806,4.41691964428419,2.8775967945595626
"In-silico, no added noise",RTOR,0.6500000000000001,"[0.6, 0.7)",777,4.221369476008446,2.7844245274647728
"In-silico, no added noise",RTOR,0.7500000000000002,"[0.7, 0.8)",802,4.159231660186204,2.71179353884409
"In-silico, no added noise",RTOR,0.8500000000000002,"[0.8, 0.9)",840,4.061130857680525,2.5007424166773715
"In-silico, no added noise",RTOR,0.9500000000000002,"[0.9, 1.0]",760,3.979545301708736,2.586865500747836
"In-silico, no added noise",A3,0.25,"[0.2, 0.3)",730,5.39572932156798,3.553774570901868
"In-silico, no added noise",A3,0.3500000000000001,"[0.3, 0.4)",808,5.187804922166437,3.48609250875622
"In-silico, no added noise",A3,0.45000000000000007,"[0.4, 0.5)",790,4.5857817752451835,2.9110532308189407
"In-silico, no added noise",A3,0.55,"[0.5, 0.6)",806,4.3938269363739355,2.88025447208619
"In-silico, no added noise",A3,0.6500000000000001,"[0.6, 0.7)",777,4.125700357337716,2.7466164245907354
"In-silico, no added noise",A3,0.7500000000000002,"[0.7, 0.8)",802,4.001217734152242,2.637957703417222
"In-silico, no added noise",A3,0.8500000000000002,"[0.8, 0.9)",840,3.8704201267233915,2.4417036358894055
"In-silico, no added noise",A3,0.9500000000000002,"[0.9, 1.0]",760,3.7547837665990778,2.5053057363947135
"In-silico, no added noise",RTOR+A3,0.25,"[0.2, 0.3)",730,5.403004078995692,4.823164916411167
"In-silico, no added noise",RTOR+A3,0.3500000000000001,"[0.3, 0.4)",808,5.119896485184384,3.334560742457526
"In-silico, no added noise",RTOR+A3,0.45000000000000007,"[0.4, 0.5)",790,4.539057538026496,2.8570478363234146
"In-silico, no added noise",RTOR+A3,0.55,"[0.5, 0.6)",806,4.397130270342969,2.8924865195713796
"In-silico, no added noise",RTOR+A3,0.6500000000000001,"[0.6, 0.7)",777,4.189083271735424,2.7765828330756253
"In-silico, no added noise",RTOR+A3,0.7500000000000002,"[0.7, 0.8)",802,4.113502890428998,2.6792390375296145
